,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
504,LSM10,113.4411524,-0.386535858,0.171942661,-2.248050922,0.024572943,0.270655202
505,SCRIB,455.3325402,0.058176659,0.197226081,0.294974473,0.76801338,0.969916557
506,SCRIB,37.18746138,-0.308785617,0.407964041,-0.756894201,0.44911325,0.841681347
507,RING2,147.5275018,-0.15688463,0.105671697,-1.484641907,0.137638708,0.55230949
508,PAR14,50.08456981,-1.506034557,2.246393385,-0.67042334,0.50258796,0.868054046
509,PAR14,170.0619205,-0.070037854,1.261222589,-0.055531716,0.955714863,0.997132192
510,INT6,202.1847308,0.08030686,0.094659451,0.848376568,0.396228288,0.809023613
511,CNEP1,29.89780773,0.20756042,0.225765089,0.919364555,0.357904922,0.781558518
512,MCCB,106.5876823,-0.282285969,0.144376195,-1.955211299,0.050558135,0.369215727
513,DEX1,106.8020468,-0.248296949,0.126281308,-1.96622091,0.049273098,0.362886995
514,CRNA,0.254805162,-19.75663707,3.790140423,-5.212639868,1.86E-07,4.29E-05
515,PAR14,641.392374,-0.074064441,0.412019912,-0.179759373,0.857341479,0.983746717
516,PAR14,123.4653949,0.005194084,1.798307808,0.002888317,0.997695459,0.999160517
517,GL1D1,38.46497946,0.123518949,0.185423339,0.666145637,0.505318017,0.869277909
518,PKS1,336.8100451,0.229714099,0.488967537,0.469794172,0.638502079,0.927198585
519,CERS2,50.47007649,-0.042509227,0.155509896,-0.273353842,0.784581231,0.973520101
520,A16A1,298.4889786,0.121220353,0.211058748,0.57434413,0.565734952,0.896198234
521,CSTN1,293.9883301,0.527886193,0.232164137,2.273762862,0.022980248,0.261965165
522,CSTN1,245.507955,-0.279357772,0.286819603,-0.973984235,0.330064367,0.760823102
523,JADE3,102.9178747,0.142352652,0.233670734,0.609201887,0.54239063,0.885817538
524,HES4,59.38303552,-0.341414293,0.229198762,-1.489599198,0.136329653,0.550241909
525,WDR31,12.23862619,1.458990396,0.563949942,2.587092023,0.009678974,0.174882927
526,WDR31,2.679203773,-5.554100401,2.166534321,-2.563587545,0.010359657,0.180851921
527,WDR31,0.081156935,-0.961672119,3.800199017,-0.253058357,0.800223118,0.977412294
528,WDR31,0.273816229,-1.116792846,3.797098887,-0.294117399,0.768668196,0.969956442
529,RB18B,110.5164747,0.069632622,0.195172721,0.356774355,0.721260736,0.956750369
530,CP10,8.856980222,4.289646446,1.479931874,2.898543184,NA,NA
531,PCDGH,127.3721178,-0.114910717,0.229219242,-0.501313571,0.616150456,0.920256212
532,FAT4,52.22111736,-0.121149666,0.384119118,-0.315396086,0.752460938,0.966978311
533,MRC1,8.543238558,-0.917725004,0.54385445,-1.687445975,0.09151763,0.47121133
534,GID4,36.14185733,0.094141175,0.2518933,0.373734335,0.708601977,0.952242624
